iteration,function operation,time elapsed
133,Update progress bar,0.0006566047668457031
134,Resize dataset,7.581710815429688e-05
134,Append arrays,0.09993219375610352
134,Update progress bar,0.0006706714630126953
135,Resize dataset,6.914138793945312e-05
135,Append arrays,0.0982658863067627
135,Update progress bar,0.0008182525634765625
136,Resize dataset,9.202957153320312e-05
136,Append arrays,0.1627953052520752
136,Update progress bar,0.0010721683502197266
137,Resize dataset,7.414817810058594e-05
137,Append arrays,0.151810884475708
137,Update progress bar,0.0008511543273925781
138,Resize dataset,8.797645568847656e-05
138,Append arrays,0.12014889717102051
138,Update progress bar,0.0010914802551269531
139,Resize dataset,7.152557373046875e-05
139,Append arrays,0.11392712593078613
139,Update progress bar,0.0007433891296386719
140,Resize dataset,7.987022399902344e-05
140,Append arrays,0.16590332984924316
140,Update progress bar,0.0008203983306884766
141,Resize dataset,7.128715515136719e-05
141,Append arrays,0.10945987701416016
141,Update progress bar,0.0006551742553710938
142,Resize dataset,7.414817810058594e-05
142,Append arrays,0.1078789234161377
142,Update progress bar,0.0006561279296875
143,Resize dataset,7.534027099609375e-05
143,Append arrays,0.12308835983276367
143,Update progress bar,0.0007507801055908203
144,Resize dataset,7.2479248046875e-05
144,Append arrays,0.1091771125793457
144,Update progress bar,0.0006916522979736328
145,Resize dataset,7.796287536621094e-05
145,Append arrays,0.1274275779724121
145,Update progress bar,0.0007023811340332031
146,Resize dataset,7.081031799316406e-05
146,Append arrays,0.09997868537902832
146,Update progress bar,0.0006947517395019531
147,Resize dataset,7.271766662597656e-05
147,Append arrays,0.1277782917022705
147,Update progress bar,0.0007355213165283203
148,Resize dataset,7.748603820800781e-05
148,Append arrays,0.09908819198608398
148,Update progress bar,0.0007460117340087891
149,Resize dataset,7.128715515136719e-05
149,Append arrays,0.0972440242767334
149,Update progress bar,0.0007696151733398438
150,Resize dataset,8.034706115722656e-05
150,Append arrays,0.14778971672058105
150,Update progress bar,0.0007798671722412109
151,Resize dataset,0.00010800361633300781
151,Append arrays,0.14567852020263672
151,Update progress bar,0.0006754398345947266
152,Resize dataset,7.987022399902344e-05
152,Append arrays,0.13360881805419922
152,Update progress bar,0.0009832382202148438
153,Resize dataset,7.319450378417969e-05
153,Append arrays,0.13617467880249023
153,Update progress bar,0.0008716583251953125
154,Resize dataset,8.630752563476562e-05
154,Append arrays,0.13651752471923828
154,Update progress bar,0.0007770061492919922
155,Resize dataset,9.250640869140625e-05
155,Append arrays,0.15490460395812988
155,Update progress bar,0.0009999275207519531
156,Resize dataset,7.462501525878906e-05
156,Append arrays,0.13012480735778809
156,Update progress bar,0.0007898807525634766
157,Resize dataset,7.534027099609375e-05
157,Append arrays,0.1666865348815918
157,Update progress bar,0.0011196136474609375
158,Resize dataset,8.511543273925781e-05
158,Append arrays,0.11344432830810547
158,Update progress bar,0.0006821155548095703
159,Resize dataset,7.224082946777344e-05
159,Append arrays,0.09694337844848633
159,Update progress bar,0.0006260871887207031
160,Resize dataset,7.2479248046875e-05
160,Append arrays,0.1072840690612793
160,Update progress bar,0.00066375732421875
161,Resize dataset,7.605552673339844e-05
161,Append arrays,0.14400172233581543
161,Update progress bar,0.001004934310913086
162,Resize dataset,7.724761962890625e-05
162,Append arrays,0.13283467292785645
162,Update progress bar,0.0006935596466064453
163,Resize dataset,7.390975952148438e-05
163,Append arrays,0.1254720687866211
163,Update progress bar,0.0008785724639892578
164,Resize dataset,7.486343383789062e-05
164,Append arrays,0.16357684135437012
164,Update progress bar,0.0008919239044189453
165,Resize dataset,7.939338684082031e-05
165,Append arrays,0.12089109420776367
165,Update progress bar,0.0007555484771728516
166,Resize dataset,9.107589721679688e-05
166,Append arrays,0.11868810653686523
166,Update progress bar,0.0008716583251953125
167,Resize dataset,7.724761962890625e-05
167,Append arrays,0.131866455078125
167,Update progress bar,0.0007486343383789062
168,Resize dataset,7.295608520507812e-05
168,Append arrays,0.14132928848266602
168,Update progress bar,0.0006999969482421875
169,Resize dataset,8.058547973632812e-05
169,Append arrays,0.11453843116760254
169,Update progress bar,0.0007698535919189453
170,Resize dataset,7.62939453125e-05
170,Append arrays,0.10459375381469727
170,Update progress bar,0.0006570816040039062
